theta,z,phi
-1.5707963267948966,1,0
-1.5390630676677268,0.9999999999999996,0
-1.5073298085405573,1.0000000000000013,0
-1.4755965494133876,1.0000000000000004,0
-1.443863290286218,1,0
-1.4121300311590483,1.0000000000000004,0
-1.3803967720318788,0.9999999999999998,0
-1.348663512904709,1.0000000000000004,0
-1.3169302537775396,0.9999999999999996,0
-1.2851969946503699,0.9999999999999998,0
-1.2534637355232003,1.0000000000000013,0
-1.2217304763960306,0.9999999999999998,0
-1.189997217268861,1.0000000000000004,0
-1.1582639581416914,1.0000000000000009,0
-1.1265306990145216,1,0
-1.0947974398873521,1.0000000000000009,0
-1.0630641807601826,1,0
-1.0313309216330129,0.9999999999999991,0
-0.9995976625058433,1.0000000000000004,0
-0.9678644033786736,0.9999999999999991,0
-0.936131144251504,1.0000000000000009,0
-0.9043978851243344,1.0000000000000013,0
-0.8726646259971648,0.9999999999999996,0
-0.8409313668699951,0.9999999999999998,0
-0.8091981077428254,0.9999999999999996,0
-0.7774648486156558,0.9999999999999991,0
-0.7457315894884862,1.0000000000000004,0
-0.7139983303613165,1.0000000000000004,0
-0.6822650712341469,0.9999999999999987,0
-0.6505318121069773,1.0000000000000009,0
-0.6187985529798077,1.0000000000000009,0
-0.5870652938526381,1.0000000000000004,0
-0.5553320347254684,1.0000000000000004,0
-0.5235987755982987,0.9999999999999993,0
-0.4918655164711292,1.0000000000000004,0
-0.46013225734395946,1,0
-0.42839899821678995,1,0
-0.3966657390896202,1.0000000000000004,0
-0.3649324799624507,1.0000000000000009,0
-0.333199220835281,1.0000000000000009,0
-0.30146596170811146,0.9999999999999996,0
-0.26973270258094173,1.0000000000000004,0
-0.23799944345377222,0.9999999999999996,0
-0.2062661843266025,1,0
-0.17453292519943298,0.9999999999999998,0
-0.14279966607226324,1.0000000000000004,0
-0.11106640694509373,0.9999999999999998,0
-0.079333147817924,1.0000000000000004,0
-0.047599888690754266,0.9999999999999998,0
-0.015866629563584755,1.0000000000000009,0
0.015866629563584977,1.0000000000000009,0
0.04759988869075449,0.9999999999999989,0
0.07933314781792422,1.0000000000000004,0
0.11106640694509373,0.9999999999999998,0
0.14279966607226346,0.9999999999999993,0
0.17453292519943298,0.9999999999999998,0
0.2062661843266027,1.0000000000000009,0
0.23799944345377222,0.9999999999999996,0
0.26973270258094195,1.0000000000000004,0
0.30146596170811146,0.9999999999999996,0
0.3331992208352812,0.9999999999999991,0
0.3649324799624507,1.0000000000000009,0
0.39666573908962044,0.9999999999999998,0
0.42839899821678995,1,0
0.4601322573439597,1,0
0.4918655164711292,1.0000000000000004,0
0.5235987755982991,0.9999999999999993,0
0.5553320347254687,1.0000000000000004,0
0.5870652938526382,0.9999999999999993,0
0.6187985529798077,1.0000000000000009,0
0.6505318121069776,0.9999999999999998,0
0.6822650712341471,1.0000000000000004,0
0.7139983303613167,1.0000000000000004,0
0.7457315894884862,1.0000000000000004,0
0.7774648486156561,0.9999999999999991,0
0.8091981077428256,0.9999999999999991,0
0.8409313668699951,0.9999999999999998,0
0.8726646259971647,1.0000000000000004,0
0.9043978851243346,0.9999999999999991,0
0.9361311442515041,1,0
